state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
UTTARAKHAND,PITHORGARH,MUNAKOT,SALLA,1,NA,Others,Panchayat Owned,NA,NA,NA,Up to 2013-2014,90850,0,0,NA,NA,90850,0,Temporarily Not in use,2,Any other reason,NA,Open Water Channel (lined / Pucca), Manual/animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,1.58,0.8,0.7,0,0.08,1.58,0,0,0,0,0,NA,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,BAGESHWAR,KAPKOT,NAUKARI,1,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,0,0,NA,NA,0,0,Permanently Not in use,4,NA,Due to other reasons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,20
UTTARAKHAND,PITHORGARH,MUNAKOT,SALLA,2,NA,Others,Panchayat Owned,NA,NA,NA,Up to 2013-2014,121400,0,0,NA,NA,121400,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha), Manual/animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,2.7,1.8,0.8,0,0.1,2.7,0,0,0,0,0,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,PATI,Ramak,7,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,40,35,0,0,5,4,NA,NA,Yes,NA,NA,No,11,9,8,0,0,17,8,6,0,0,14,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,PATI,Pardhayani,3,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,45,40,0,0,7,5,NA,NA,Yes,NA,NA,No,10,8,7,0,0,15,8,7,0,0,15,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,BAGESHWAR,KAPKOT,BAGHAR,25,NA,On-River,Others,NA,NA,NA,Up to 2013-2014,200000,0,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,150,120,100,80,10,8,6,4,Yes,NA,NA,No,5,2,2,1,1,6,1.5,1.5,1,0.5,4.5,Yes,Breakdown of channels,NA,NA,NA,2,25,26
UTTARAKHAND,BAGESHWAR,KAPKOT,BAGHAR,26,NA,On-River,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,0,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,150,120,100,80,10,8,6,5,Yes,NA,NA,No,5,2,2,1,1,6,1.5,1.5,1,0.5,4.5,Yes,Breakdown of channels,NA,NA,NA,2,26,26
UTTARAKHAND,BAGESHWAR,KAPKOT,BARET,2,NA,On-River,Others,NA,NA,NA,Up to 2013-2014,200000,0,0,NA,NA,0,0,Permanently Not in use,4,NA,Due to other reasons,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,21
UTTARAKHAND,CHAMPAWAT,PATI,Holi Piplati,6,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Others,Others,10,45,40,0,0,6,5,NA,NA,Yes,NA,NA,No,14,10.8,7.2,0,0,18,9.3,6.1,0,0,15.4,No,NA,NA,NA,NA,1,NA,NA
UTTARAKHAND,CHAMPAWAT,PATI,Jhudaili,6,NA,On-Stream,Govt. Owned,NA,NA,NA,Up to 2013-2014,200000,200000,0,NA,NA,0,0,Permanently Not in use,5,NA,Destroyed beyond repair,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,No,11,9,8,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
